adm3_en,adm2_en,num_map_tank,num_tank,asc_map_dad,asc_dad,asc_func,asc_damaged,asc_nonfunc,asc_pop,asc_fam,asc_pop_func,asc_pop_damaged,asc_pop_nonfunc,asc_fam_func,asc_fam_damaged,asc_cas,asc_tank_irri,asc_tank_agri,asc_tank_agri_day,asc_tank_agri_com,asc_tank_agri_day_com,asc_reno,asc_breached,asc_needreno,asc_good,asc_bundreha,asc_sluice,asc_sluice2,asc_spill,asc_spill2,asc_length1,asc_length2,asc_length3,asc_length4,asc_length5
Pasbagekorale,Kandy,2,1,100,100,0,100,100,0,0,,,,,,0,0,0,100,0,0,0,100,100,100,,0,0,0,0,2,0,0,0,0
Pathadumbara,Kandy,1,1,100,100,0,100,100,0,0,,,,,,0,0,100,0,0,0,0,100,100,0,,0,0,0,0,1,0,0,0,0
Pathahewaheta,Kandy,9,6,100,100,69.444443,2.7777777,30.555553,0,1193,,,,69.362953,2.7940767,0,2.7777777,2.7777777,11.111111,2.7777777,0,25,0,100,69.444443,0,100,0,69.444443,2.7777777,1.5,0,0,0,0
Tumpane,Kandy,2,2,100,100,0,0,100,0,3,,,,0,0,0,50,50,0,0,0,0,0,25,0,,25,0,25,0,1,0,0,0,0
Udapalatha,Kandy,3,2,44.444443,100,100,0,0,0,167,,,,100,0,0,50,50,0,0,0,0,25,100,25,,25,0,25,0,1.5,0,0,0,0
Ududumbara,Kandy,10,9,64,60.493828,79.012344,1.2345679,20.987658,231,138,88.888885,0,11.111111,88.888885,0,1.2345679,8.6419754,8.6419754,1.2345679,0,0,1.2345679,1.2345679,60.493828,1.2345679,,60.493828,0,30.864199,0,0.54444444,0.011111111,0.044444446,0,0
Udunuwara,Kandy,15,15,100,100,36,1.7777778,64,817,502,58.898411,0.24479803,41.101589,58.207172,0.39840639,0,4.8888888,5.333333,1.3333333,0,0,4,11.111111,53.777779,11.111111,0,53.777779,1.7777778,64,0,0.63999999,0.039999999,0,0,0
Yatinuwara,Kandy,12,11,100,100,52.892563,7.4380169,47.107437,140,449,72.727272,0,27.272728,70.29763,0.91111559,0,4.1322312,6.6115704,0.82644629,0.82644629,0,0.82644629,3.3057852,40.495869,13.223141,0,82.644623,3.3057852,29.752068,0,1.0909091,0,0,0,0
Kandavalai,Kilinochchi,70,53,97.163261,96.262009,3.5599856,36.454254,96.440018,2740,992,8.5800858,31.378597,91.419914,4.1083384,37.248936,0,0,0.17799929,0.71199715,0.21359915,0.74759698,2.2783909,32.039871,85.475258,0.14239943,0,1.744393,0.14239943,0.32039872,0.035599858,0.57035041,0.004312669,0.017250674,0.013207547,0.006738544
Karachchi,Kilinochchi,102,83,56.987698,65.16185,23.225431,7.0256929,76.774567,12104,6826,25.517803,9.830266,74.482201,29.483301,4.8072748,0.52257222,0.014515895,0.39192918,0.34838149,0.11612716,0.27580202,2.8451154,12.207868,43.910583,1.1757874,0,0.36289737,0.014515895,0.13064305,0.014515895,0.51452869,0.000472478,0.001889913,0.014292465,0.042641152
Pachchilaipalli,Kilinochchi,197,192,89.144272,88.869904,3.1358509,50.914169,96.864151,2202,2310,6.0877423,34.964188,93.912254,3.5110028,45.25275,0,0.032552082,0.30110675,0.11121961,0.021701388,0.059678815,1.312934,8.2058382,41.710072,0.53168404,0,0.002712674,0.002712674,0.002712674,0,0.23860511,0.010575295,0.0165239,0.010575295,0.036193948
Poonakary,Kilinochchi,285,260,48.754696,49.53994,18.889053,6.0591717,81.110947,4485,2998,0.96904206,7.3214989,99.03096,1.8990866,12.225586,0.036982246,0.00147929,0.18639053,0.13461539,0.01035503,0.032544378,1,4.4748521,23.859467,2.25,0,0.59171593,0.14792898,1.0784023,0.59171593,0.4180297,0.00048583,0.005951417,0.014696357,0.032402162
Alawwa,Kurunegala,29,26,93.222359,92.45562,53.402363,1.3313609,46.597637,8335,2211,65.966499,0.24364358,34.033504,57.60881,0.83498591,0,2.6627219,2.8106508,0.59171593,0.14792898,0,17.899408,0.59171593,28.994083,7.2485209,0,65.236687,2.3668637,59.1716,0.14792898,0.38328913,0.021220161,0.047745358,0.00132626,0.00132626
Ambanpola,Kurunegala,329,276,84.260124,86.705788,48.393192,1.3442554,51.606808,21530,5747,42.433815,1.2741237,57.566185,44.569187,1.601844,11.599454,0.16278093,0.16934468,0.16803193,0.002625499,0.013127495,5.0462089,1.3491436,57.892254,10.398288,0,37.493435,0.37938461,71.267853,0.032818735,0.11234087,0.077705823,0.12141535,0.011992864,0.000396458
Bamunakotuwa,Kurunegala,94,63,100,100,84.756866,0.40312421,15.243134,6999,2064,85.802277,0.25219023,14.197721,86.532547,0.21225545,0.40312421,1.2849585,1.4109348,0.15117158,0,0,6.8872747,1.0582011,22.626263,36.83078,0,76.215675,0.62988156,55.656334,0,0.42215469,0.074468084,0.074468084,0.000168862,0.000168862
Bingiriya,Kurunegala,276,246,100,100,79.253418,0.27926499,20.746578,20042,5882,75.654297,0.49386129,24.345705,79.595253,0.31984031,8.8059359,0.23464869,0.30570427,0.054531034,0.023134377,0.019829467,5.1537647,0.67907327,44.42696,18.528784,0,67.426796,1.2955251,60.916122,0.059488401,0.10641275,0.12196595,0.096633092,0.003770472,0.000132556
Ehetuwewa,Kurunegala,259,217,87.303413,90.995773,60.653233,1.6649324,39.346767,31281,9613,65.075676,0.91284931,34.924324,61.490753,1.1838807,51.020409,0.14440741,0.18050925,0.19537471,0.016989106,0.040349126,5.8228173,3.4294288,46.948879,9.1839838,0,42.821041,4.8928623,68.805878,0.019112743,0.087183952,0.021795988,0.25621408,0.012027828,0.001138729
